Paper	Paper URL	Year	Venue	Dataset	External Data	Twitter	Non-Twitter	Code URL	Code URL in paper	Tokeniser from paper	Tokeniser from code	Embeddings	Embeddings	Embeddings	Embeddings
Target-Dependent Twitter Sentiment Classification with Rich Automatic Features	https://www.ijcai.org/Proceedings/15/Papers/194.pdf	2015	IJCAI	Dong et al. 2014	UnLablled data for word embeddings	Yes	No 	https://github.com/SUTDNLP/NNTargetedSentiment	No	Twokeniser	NA	Domain sepcific (Twitter) Word2Vec	SSWE	NA	NA
Gated Neural Networks for Targeted Sentiment Analysis	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12074/12065	2016	AAAI	Unique 3 sources data set of Dong, Mitchell and MPQA	UnLablled data for word embeddings	Yes	Yes	https://github.com/SUTDNLP/NNTargetedSentiment	Yes	NA	NA	Domain sepcific (Twitter) Word2Vec	SSWE	NA	NA
Neural Networks for Open Domain Targeted Sentiment	https://www.aclweb.org/anthology/D15-1073.pdf	2015	EMNLP	Mitchell	UnLablled data for word embeddings	Yes	No 	https://github.com/SUTDNLP/OpenTargetedSentiment	Yes	NA	NA	Domain sepcific (Twitter) Word2Vec	NA	NA	NA
Adaptive Recursive Neural Network for Target-dependent Twitter Sentiment Classification	https://www.aclweb.org/anthology/P14-2009.pdf	2014	ACL	Dong et al. 2014	No	Yes	No 	NA	NA	Twokeniser	NA	Random intitalised	NA	NA	NA
Effective LSTMs for Target-Dependent Sentiment Classification	https://www.aclweb.org/anthology/C16-1311.pdf	2016	COLING	Dong et al. 2014	UnLablled data for word embeddings	Yes	No	http://ir.hit.edu.cn/~dytang/	Yes	NA	Twokeniser	SSWE	Glove Twitter	NA	NA
TDParse: Multi-target-specific sentiment recognition on Twitter	https://www.aclweb.org/anthology/E17-1046.pdf	2017	EACL	Dong et al. 2014 and Wang et al. 2017	UnLablled data for word embeddings	Yes	No	https://github.com/bluemonk482/tdparse	Yes	NA	Twokeniser	Domain sepcific (Twitter) Word2Vec	SSWE	NA	NA
Aspect Level Sentiment Classification with Deep Memory Network	https://www.aclweb.org/anthology/D16-1021.pdf	2016	EMNLP	SemEval 2014 	No	No	Yes	http://ir.hit.edu.cn/~dytang/	No	NA	Stanford	Glove 42B	NA	NA	NA
Exploiting Document Knowledge for Aspect-level Sentiment Classification	https://www.aclweb.org/anthology/P18-2092.pdf	2018	ACL	SemEval 2014, SemEval 2015, SemEval 2016	Yelp and Amazon reviews	No	Yes	https://github.com/ruidan/Aspect-level-sentiment	Yes	NA	Whitespace	Glove 840B	NA	NA	NA
Attention-based LSTM for Aspect-level Sentiment Classification	https://www.aclweb.org/anthology/D16-1058.pdf	2016	EMNLP	SemEval 2014 	No	No	Yes	NA	NA	NA	NA	Glove 840B	NA	NA	NA
Recurrent Attention Network on Memory for Aspect Sentiment Analysis	https://www.aclweb.org/anthology/D17-1047.pdf	2017	EMNLP	SemEval 2014 , Dong et al. 2014, Chinese News Corpus (this paper)	No	Yes	Yes	NA	NA	NA	NA	Glove 42B	Word2Vec CBOW 1.4 billion Chinese Corpus	NA	NA
Interactive Attention Networks for Aspect-Level Sentiment Classification	https://www.ijcai.org/Proceedings/2017/0568.pdf	2017	IJCAI	SemEval 2014 	No	No	Yes	NA	NA	NA	NA	Glove 300D	NA	NA	NA
